Domain,Price,Venue
priorypark.com,$354,GoDaddy
pbass.com,$354,GoDaddy
rudy-galindo.com,$353,DropCatch
drlisazhang.com,$350,GoDaddy
thealliedgroup.com,$347,DropCatch
yenbo.com,$345,DropCatch
rhcpfrance.com,$344,DropCatch
virtuelle.ai,$338,Namecheap
alabamawellnessphysicians.net,$338,GoDaddy
luxurynailspadecatur.com,$338,GoDaddy
silifkegozderestaurant.com,$338,GoDaddy
bangkokredeye.com,$333,GoDaddy
girlm.com,$333,GoDaddy
meufinanceiro.com,$330,GoDaddy
ganame.com,$326,GoDaddy
quadesl.org,$323,DropCatch
vexpa.com,$321,DropCatch
ftsimplus.com,$320,Dynadot
newdayglutenfree.com,$320,DropCatch
stpaulchoirschool.com,$320,DropCatch
semmanager.com,$316,GoDaddy
policycover.com,$315,GoDaddy
synergemarketing.com,$315,GoDaddy
freshcasinoslots.com,$315,Afternic
hailio.com,$315,GoDaddy
evroadside.com,$313,GoDaddy
vitaeclinica.com,$311,GoDaddy
savvyly.com,$311,GoDaddy
thepartylinepr.com,$308,GoDaddy
hwy82smokeshop.com,$308,GoDaddy
livingcanopies.com,$306,GoDaddy
fifamoro.com,$305,Namecheap
examcraze.com,$305,Namecheap
nochicares.com,$305,Namecheap
uispace.com,$305,Namecheap
scrimshandergallery.com,$305,GoDaddy
tool-wise.com,$305,GoDaddy
tokensocial.com,$305,GoDaddy
leveerun.com,$305,GoDaddy
soulrichfotismos.com,$305,GoDaddy
kmeatbox.com,$305,GoDaddy
dhanangclosedhouse.com,$305,GoDaddy
rbuv.com,$304,DropCatch
inspectionagent.com,$303,GoDaddy
miigroup.com,$301,GoDaddy
aiemporia.com,$300,Afternic
tattoomonk.com,$300,GoDaddy
coreyo.com,$300,DropCatch
mayfit.com,$300,DropCatch
caraguatatuba.com,$296,GoDaddy
bidy.ai,$294,Namecheap
linncountykansas.net,$293,GoDaddy
fintechbox.com,$293,GoDaddy
jsplan.com,$291,GoDaddy
christianhur.com,$290,GoDaddy
latinstorenearme.com,$290,GoDaddy
shoestopky.com,$290,GoDaddy
blsamsuq.com,$290,GoDaddy
bookcheaphotel.com,$289,GoDaddy
smartiko.com,$288,DropCatch
laurenmay.com,$286,GoDaddy
battlefinity.com,$285,Namecheap
plantroots.com,$284,GoDaddy
haystack.app,$280,Sav.com
smokingdeals.com,$280,GoDaddy
centuryfastcash.net,$280,GoDaddy
viroha.com,$280,GoDaddy
ultrawrap.com,$277,DropCatch
belmonttech.com,$275,GoDaddy
companypayroll.com,$274,GoDaddy
eunoiadesign.com,$270,GoDaddy
cellbiol.net,$270,DropCatch
sportbb.com,$267,GoDaddy
biasfilm.com,$265,GoDaddy
9728mu.com,$264,DropCatch
soonerappliancerepairthornton.com,$263,GoDaddy
goodwoof.com,$260,GoDaddy
wtsvietnam.com,$260,GoDaddy
redipped.com,$259,GoDaddy
quantixcapital.com,$256,GoDaddy
edopay.com,$255,Namecheap
mitrabusinesssolution.com,$255,GoDaddy
cendora.com,$255,GoDaddy
interaktifmatematik.com,$255,GoDaddy
wayfaringlondoner.com,$255,Dynadot
rimlandcenter.com,$255,GoDaddy
doobot.com,$250,GoDaddy
liquidaroma.com,$249,GoDaddy
ruberlin.com,$249,GoDaddy
dmong.com,$246,GoDaddy
betterdesign.org,$245,DropCatch
kissmint.com,$244,DropCatch
siontek.com,$244,DropCatch
canchis.pe,$242,Catched.com
saesoon.com,$242,DropCatch
alphaschools.com,$240,GoDaddy
calhouncoffee.com,$240,GoDaddy
pokerfunds.com,$239,GoDaddy
golfforeless.com,$239,GoDaddy
rileco.com,$238,GoDaddy
gayfarmercentral.com,$235,Namecheap
fillet.ai,$235,Namecheap
rankinsight.com,$235,Dynadot
churchillboxingclub.com,$235,GoDaddy
estategurus.com,$235,GoDaddy
bonbuy.com,$234,GoDaddy
howtofindagirlfriend.com,$234,GoDaddy
jaynailspawv.com,$230,Namecheap
peachflowerhouse.com,$230,GoDaddy
theblakelyny.com,$230,GoDaddy
carclinic-kissimmee.com,$230,GoDaddy
nutritionmonster.com,$230,GoDaddy
letaquin.com,$230,DropCatch
smokeconnect.com,$228,GoDaddy
miamiaccident.com,$227,GoDaddy
garibo.com,$226,GoDaddy
thecoinclub.com,$226,GoDaddy
steamreport.com,$225,GoDaddy
edmoz.com,$221,Namecheap
lifestylebanking.com,$220,GoDaddy
packedmeals.com,$220,Dynadot
xreminder.com,$216,Namecheap
bayridgecollege.org,$215,GoDaddy
felinefrenzycatrescue.com,$215,GoDaddy
firstasic.com,$214,GoDaddy
mgpen.com,$214,GoDaddy
brandonbaypalmsprings.com,$213,GoDaddy
meridianchiro-well.com,$213,GoDaddy
botlanguage.com,$210,GoDaddy
karabiber.com,$209,DropCatch
antiracisted.org,$205,Namecheap
todosobreganado.com,$205,Namecheap
thelocksmithsjacksonville.com,$205,Namecheap
hotheadvapor.com,$205,Namecheap
biaodoo.com,$205,Namecheap
vippets.us,$205,GoDaddy
aveedi.com,$205,GoDaddy
parkempire.com,$205,GoDaddy
mindyourautisticbrain.com,$205,GoDaddy
anothersliceofcake.com,$205,GoDaddy
dkvj.com,$205,GoDaddy
toopago.com,$205,GoDaddy
incompassrealty.com,$205,GoDaddy
dailytechtalk.com,$205,GoDaddy
kokomojackrabbits.com,$205,GoDaddy
britishbnb.com,$205,GoDaddy
power-week.com,$205,GoDaddy
ohour.com,$205,GoDaddy
joleesdish.com,$205,GoDaddy
lindsaymartindrummer.com,$205,GoDaddy
eudemo.com,$205,GoDaddy
multiplesilluminated.com,$205,GoDaddy
thejuiceup.com,$205,GoDaddy
subtrax.com,$204,GoDaddy
ypsi11.com,$203,GoDaddy
celebritysportsplaza.com,$203,GoDaddy
ellenmarshmusic.com,$200,Namecheap
fibromyalgiaflotationproject.com,$200,Namecheap
99sl.com,$200,GoDaddy
epdic18.org,$200,GoDaddy
garydonaldson.net,$200,GoDaddy
yorkhandyman.com,$200,DropCatch
twosizes.com,$199,Afternic
kingofhearts.org,$198,DropCatch
26353.com,$197,GoDaddy
thebharatnama.com,$196,GoDaddy
consciouscatalyst.com,$196,DropCatch
yourwhatknot.com,$195,GoDaddy
teatrino.com,$194,DropCatch
paper-bird.net,$193,GoDaddy
ooisolutions.com,$191,GoDaddy
mortgagejourney.com,$191,GoDaddy
flimflammerch.com,$186,Namecheap
aimarkettrends.com,$186,GoDaddy
defendonline.com,$183,DropCatch
ultrapedia.com,$181,GoDaddy
vradio.org,$180,DropCatch
rentverse.com,$180,DropCatch
harashima.com,$179,DropCatch
smartbody.ai,$176,Namecheap
ruralkingz.com,$175,GoDaddy
avtoset.net,$174,DropCatch
digitalincomes.com,$171,DropCatch
componentlibrary.com,$170,Namecheap
peachgardeneshop.com,$170,GoDaddy
stadtbar-vienna.com,$170,GoDaddy
vytn.com,$170,DropCatch
canyu.org,$168,GoDaddy
hyde-park-cafe.com,$166,GoDaddy
neuroera.com,$165,Namecheap
houseofbots.com,$165,GoDaddy
sharepie.com,$165,GoDaddy
sandiegotreeservice.com,$165,Dynadot
cenna.ai,$162,Namecheap
dianarobinson.com,$161,GoDaddy
pixa.app,$160,Sav.com
instagramapk.org,$160,Namecheap
aifcc.com,$160,DropCatch
kdmtransport.com,$160,DropCatch
betterbrain.org,$160,DropCatch
worksly.com,$159,Namecheap
palers.com,$156,GoDaddy
iecontrols.com,$156,GoDaddy
summithillsflorist.com,$156,GoDaddy
cgoz.com,$156,GoDaddy
suggestwise.com,$155,Namecheap
encounterdetroit.org,$155,GoDaddy
theplantera.com,$155,GoDaddy
imbya.com,$155,GoDaddy
bigvent.com,$155,GoDaddy
chopperdirectory.com,$155,GoDaddy
pokertwo.com,$155,GoDaddy
lancovid.org,$155,GoDaddy
hvacrepair-ca.com,$155,GoDaddy
attorneystevenvisser.com,$155,GoDaddy
coreportal.org,$155,Dynadot
checkroof.com,$155,GoDaddy
pechatshop.com,$155,Dynadot
serviceintl.com,$155,GoDaddy
cellulam.com,$155,GoDaddy
upkarmarathi.com,$155,GoDaddy
arteviste.com,$155,GoDaddy
avenah.com,$155,GoDaddy
aquaretreat.com,$155,DropCatch
prads.com,$152,DropCatch
thaimobdata.com,$150,Namecheap
sdautosalon.com,$150,GoDaddy
hykv.com,$150,GoDaddy
globalistagenda.org,$150,Dynadot
tanashigurashi.com,$150,GoDaddy
alistbloggingbootcamps.com,$150,DropCatch
dslschool.org,$150,DropCatch
onlywithlove.com,$149,GoDaddy
notchgroup.com,$146,GoDaddy
oregalo.com,$145,GoDaddy
agro-invest.com,$144,DropCatch
gffinance.com,$144,DropCatch
onepivot.com,$144,DropCatch
emberwing.com,$144,DropCatch
tigerkings.com,$141,GoDaddy
pintothai.com,$141,GoDaddy
athletickingdom.com,$141,GoDaddy
astroconverter.com,$140,Namecheap
nightlifeentertainment.com,$140,GoDaddy
teacheraid.org,$140,DropCatch
precisionpruning.com,$138,GoDaddy
madeice.com,$136,GoDaddy
sailsquad.com,$136,GoDaddy
stackscard.com,$135,GoDaddy
vormi.com,$133,DropCatch
eatright.ai,$132,Namecheap
hatagaya.com,$132,DropCatch
candidcreations.com,$131,DropCatch
stackpayments.com,$130,GoDaddy
hirorin.com,$130,GoDaddy
marketingmy.com,$126,GoDaddy
philippinesbracelets.com,$125,GoDaddy
soundwave.app,$124,Sav.com
oqpn.com,$124,DropCatch
ylmf.org,$124,DropCatch
cinemapreneur.com,$122,GoDaddy
prosperitybuilders.com,$121,DropCatch
hoavo.com,$120,GoDaddy
m966.com,$120,GoDaddy
qaeh.com,$120,DropCatch
patti.ai,$118,Namecheap
lnqe.com,$116,GoDaddy
hmnads.com,$116,Dynadot
ninosurguladze.com,$115,Namecheap
servernesia.com,$115,Dynadot
allterrainexcavating.com,$115,GoDaddy
printabox.com,$114,DropCatch
pokerpunt.com,$114,DropCatch
lifepai.com,$113,GoDaddy
chethaichicago.com,$113,GoDaddy
sportlucky.com,$113,DropCatch
carln.com,$113,DropCatch
harmoniccapital.com,$111,GoDaddy
keysites.com,$110,Namecheap
iper.ai,$110,Namecheap
issuestats.com,$110,DropCatch
trovaauto.com,$110,DropCatch
emsa-sg.org,$110,DropCatch
personalloandubai.com,$110,DropCatch
miamibesthotels.com,$106,GoDaddy
luminawell.com,$106,GoDaddy
quoteshift.com,$106,GoDaddy
oldcold.com,$106,GoDaddy
mpfilmsaward.com,$105,GoDaddy
beardgrooming.net,$105,GoDaddy
philippinesbeads.com,$105,GoDaddy
lillaloves.com,$105,GoDaddy
howweendbook.com,$105,GoDaddy
chbc.net,$105,GoDaddy
nathanielmissildine.com,$105,GoDaddy
brettefuller.com,$105,GoDaddy
whitecampussquare.co.za,$105,Catched.com
theathleticculture.com,$105,GoDaddy
loglogistics.com,$105,GoDaddy
farmingcraft.com,$105,GoDaddy
atfforklifts.com,$105,GoDaddy
connectedtogive.org,$105,GoDaddy
truedealsclub.net,$105,GoDaddy
telangananela.com,$105,GoDaddy
petersflooringandpaint.com,$105,GoDaddy
senyobulla.com,$105,GoDaddy
fishlibrary.com,$105,GoDaddy
cad3.com,$104,GoDaddy
writeyourpaper.org,$103,Namecheap
sredann.org,$103,Namecheap
tupperware.ru.com,$103,Sav.com
topfaceclinic.com,$103,Namecheap
e2scatering.com,$103,Namecheap
mercycommons.org,$103,Namecheap
onlyupgame.net,$103,Namecheap
fity.ai,$103,Namecheap
jamey.ai,$103,Namecheap
savejaparipark.com,$103,Namecheap
love-buddha-bar.com,$103,GoDaddy
fargerfactory.com,$103,GoDaddy
sproutupurbanfarm.com,$103,GoDaddy
dreamitbuildit3d.com,$103,GoDaddy
aaaroofs.com,$102,GoDaddy
arirangbuffalo.com,$101,GoDaddy
mcipcc.net,$101,GoDaddy
trustedhomecontractorsinc.com,$101,GoDaddy
ruckus.app,$100,Sav.com
gailvoice.com,$100,GoDaddy
brainaugment.com,$100,GoDaddy
adaptaiautomation.com,$100,GoDaddy
samuraiforex.com,$100,GoDaddy
uspiece.com,$100,GoDaddy
shopskinclinic.co,$100,Catched.com
generatingmedia.com,$100,GoDaddy
dubaiconnect.net,$100,Afternic
